Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
7716.000000, 7739.000000, 11626.000000, 12463.000000, 13888.000000, 7849.000000, 5463.000000, 4507.000000, 4642.000000
7715.000000, 7364.000000, 10524.000000, 12888.000000, 15748.000000, 7841.000000, 5335.000000, 6427.000000, 9092.000000
7653.000000, 9179.000000, 11992.000000, 13514.000000, 14603.000000, 7824.000000, 6673.000000, 4595.000000, 8286.000000
7637.000000, 7102.000000, 10812.000000, 12159.000000, 14457.000000, 7495.000000, 5678.000000, 5666.000000, 8582.000000
7801.000000, 7471.000000, 13690.000000, 13384.000000, 14370.000000, 7325.000000, 5448.000000, 4910.000000, 9911.000000
7591.000000, 7578.000000, 11287.000000, 12708.000000, 13036.000000, 7549.000000, 5363.000000, 4558.000000, 4837.000000
7566.000000, 7340.000000, 11545.000000, 12844.000000, 14969.000000, 8578.000000, 5693.000000, 6894.000000, 9190.000000
7668.000000, 6708.000000, 12397.000000, 15861.000000, 17611.000000, 7413.000000, 5497.000000, 5371.000000, 9312.000000
7826.000000, 7209.000000, 13756.000000, 12644.000000, 14636.000000, 14019.000000, 5344.000000, 4974.000000, 9496.000000
7374.000000, 7279.000000, 10491.000000, 11948.000000, 14195.000000, 7963.000000, 6818.000000, 4667.000000, 9705.000000
7666.000000, 7038.000000, 11115.000000, 16116.000000, 15567.000000, 9268.000000, 7148.000000, 4894.000000, 4737.000000
7421.000000, 7259.000000, 10928.000000, 13205.000000, 21095.000000, 7814.000000, 5256.000000, 4706.000000, 6372.000000
7418.000000, 7688.000000, 10738.000000, 13744.000000, 13896.000000, 7289.000000, 5365.000000, 5723.000000, 5489.000000
7417.000000, 7538.000000, 13238.000000, 14166.000000, 16770.000000, 7062.000000, 5396.000000, 4938.000000, 4982.000000
7369.000000, 7487.000000, 10657.000000, 14449.000000, 14149.000000, 8780.000000, 5348.000000, 5547.000000, 6229.000000
7932.000000, 7394.000000, 10703.000000, 14242.000000, 14588.000000, 7524.000000, 5709.000000, 5210.000000, 5191.000000
7394.000000, 7730.000000, 10772.000000, 13501.000000, 13170.000000, 7960.000000, 6079.000000, 5426.000000, 9154.000000
7329.000000, 7367.000000, 12383.000000, 13072.000000, 12689.000000, 7454.000000, 5169.000000, 4596.000000, 10354.000000
7808.000000, 7573.000000, 10996.000000, 11698.000000, 13263.000000, 7284.000000, 5601.000000, 4881.000000, 4919.000000
7332.000000, 7464.000000, 10822.000000, 12457.000000, 14610.000000, 12095.000000, 7337.000000, 5404.000000, 4864.000000
7169.000000, 6959.000000, 15546.000000, 12934.000000, 13657.000000, 7515.000000, 5611.000000, 6484.000000, 4660.000000
7185.000000, 7103.000000, 11597.000000, 14523.000000, 14027.000000, 8420.000000, 5382.000000, 5390.000000, 10561.000000
7837.000000, 7782.000000, 11105.000000, 16263.000000, 20143.000000, 10659.000000, 7960.000000, 8169.000000, 9482.000000
7887.000000, 7660.000000, 11334.000000, 13836.000000, 13347.000000, 7745.000000, 5347.000000, 4481.000000, 11211.000000
7354.000000, 7951.000000, 11457.000000, 12131.000000, 12772.000000, 8411.000000, 6193.000000, 6895.000000, 11647.000000
7836.000000, 7860.000000, 11231.000000, 13850.000000, 14360.000000, 8003.000000, 5933.000000, 4832.000000, 5381.000000
7611.000000, 7980.000000, 12114.000000, 13820.000000, 14563.000000, 8187.000000, 6928.000000, 5514.000000, 5487.000000
7931.000000, 7540.000000, 12250.000000, 13982.000000, 17636.000000, 7983.000000, 5772.000000, 4770.000000, 5564.000000
6990.000000, 8565.000000, 10450.000000, 12106.000000, 13382.000000, 7718.000000, 5565.000000, 4888.000000, 7862.000000
7782.000000, 8005.000000, 11542.000000, 12783.000000, 14358.000000, 8668.000000, 6876.000000, 5378.000000, 9008.000000
7833.000000, 7797.000000, 10901.000000, 12804.000000, 13511.000000, 8222.000000, 7383.000000, 5158.000000, 8071.000000
7764.000000, 7843.000000, 12771.000000, 13215.000000, 14883.000000, 8181.000000, 6237.000000, 5357.000000, 5258.000000
7932.000000, 7577.000000, 11681.000000, 12083.000000, 15260.000000, 8332.000000, 7543.000000, 5901.000000, 11448.000000
7326.000000, 7514.000000, 11728.000000, 14568.000000, 13503.000000, 7972.000000, 4884.000000, 4473.000000, 4740.000000
7365.000000, 7497.000000, 11055.000000, 12669.000000, 13700.000000, 9399.000000, 6873.000000, 5293.000000, 8268.000000
7377.000000, 7614.000000, 10789.000000, 14016.000000, 14218.000000, 10743.000000, 6081.000000, 4529.000000, 11322.000000
7307.000000, 7576.000000, 9897.000000, 12663.000000, 12981.000000, 7471.000000, 5837.000000, 4398.000000, 11160.000000
7526.000000, 7860.000000, 11530.000000, 12382.000000, 12373.000000, 6918.000000, 5170.000000, 4671.000000, 9615.000000
7770.000000, 7119.000000, 11348.000000, 13216.000000, 14113.000000, 7512.000000, 5329.000000, 6852.000000, 9908.000000
7333.000000, 7266.000000, 10416.000000, 12539.000000, 15431.000000, 7471.000000, 5845.000000, 4546.000000, 6607.000000
7306.000000, 7284.000000, 10971.000000, 13328.000000, 13773.000000, 9668.000000, 10454.000000, 5483.000000, 10044.000000
7333.000000, 6998.000000, 11228.000000, 12788.000000, 14871.000000, 7341.000000, 5396.000000, 5277.000000, 5515.000000
7311.000000, 6838.000000, 13830.000000, 13988.000000, 12863.000000, 8613.000000, 5296.000000, 5373.000000, 11352.000000
9202.000000, 7298.000000, 10200.000000, 12860.000000, 15956.000000, 8112.000000, 6425.000000, 4968.000000, 9286.000000
7917.000000, 7664.000000, 12547.000000, 13399.000000, 16177.000000, 7624.000000, 5697.000000, 5447.000000, 10779.000000
7868.000000, 7964.000000, 11548.000000, 15402.000000, 19014.000000, 11126.000000, 8389.000000, 5180.000000, 6970.000000
7898.000000, 7445.000000, 11397.000000, 11957.000000, 14177.000000, 7405.000000, 6213.000000, 4837.000000, 7183.000000
7954.000000, 8930.000000, 13508.000000, 13858.000000, 14138.000000, 8224.000000, 5803.000000, 4813.000000, 5366.000000
7895.000000, 8272.000000, 12231.000000, 12375.000000, 15360.000000, 8050.000000, 5547.000000, 4542.000000, 5025.000000
7890.000000, 7811.000000, 13302.000000, 13851.000000, 15176.000000, 8762.000000, 5432.000000, 4821.000000, 8045.000000
7533.000000, 8029.000000, 11092.000000, 16239.000000, 17046.000000, 7658.000000, 5386.000000, 5024.000000, 5436.000000
8056.000000, 7791.000000, 12017.000000, 14849.000000, 14469.000000, 8542.000000, 5594.000000, 4867.000000, 10243.000000
7950.000000, 9024.000000, 13781.000000, 13677.000000, 15661.000000, 8353.000000, 5349.000000, 5232.000000, 6574.000000
7968.000000, 7604.000000, 12509.000000, 13796.000000, 14136.000000, 8118.000000, 5464.000000, 4781.000000, 6383.000000
7941.000000, 7658.000000, 12130.000000, 12495.000000, 14216.000000, 8095.000000, 5602.000000, 5218.000000, 9825.000000
