Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
28599.000000, 25960.000000, 32476.000000, 45394.000000, 78493.000000, 28769.000000, 38264.000000, 49234.000000, 48458.000000
28004.000000, 25767.000000, 33324.000000, 36285.000000, 51886.000000, 29403.000000, 54197.000000, 45892.000000, 63607.000000
26894.000000, 25948.000000, 33651.000000, 37674.000000, 56408.000000, 33805.000000, 42744.000000, 54287.000000, 50769.000000
30085.000000, 25861.000000, 39302.000000, 52798.000000, 54029.000000, 30344.000000, 42180.000000, 54961.000000, 62986.000000
28161.000000, 26676.000000, 42724.000000, 53919.000000, 77632.000000, 27524.000000, 45249.000000, 65161.000000, 56555.000000
28400.000000, 28704.000000, 43224.000000, 42316.000000, 44035.000000, 36654.000000, 37439.000000, 48009.000000, 75263.000000
29308.000000, 27741.000000, 39128.000000, 48238.000000, 47154.000000, 33106.000000, 46398.000000, 50055.000000, 64340.000000
36552.000000, 30505.000000, 35497.000000, 44179.000000, 59711.000000, 28921.000000, 40267.000000, 47836.000000, 93754.000000
30774.000000, 25696.000000, 36120.000000, 48908.000000, 45226.000000, 29844.000000, 44474.000000, 45469.000000, 59209.000000
30820.000000, 27235.000000, 37018.000000, 47516.000000, 45051.000000, 31662.000000, 43132.000000, 66961.000000, 76106.000000
29944.000000, 32651.000000, 33784.000000, 45060.000000, 71276.000000, 31467.000000, 38436.000000, 55808.000000, 60542.000000
28009.000000, 32143.000000, 42038.000000, 49818.000000, 73810.000000, 30269.000000, 43024.000000, 47738.000000, 65184.000000
32752.000000, 36085.000000, 36010.000000, 48528.000000, 75835.000000, 30347.000000, 49877.000000, 53991.000000, 59943.000000
27864.000000, 26922.000000, 41707.000000, 41540.000000, 52104.000000, 27576.000000, 46551.000000, 51280.000000, 81691.000000
28679.000000, 27652.000000, 46699.000000, 39753.000000, 43646.000000, 30910.000000, 39802.000000, 43644.000000, 107269.000000
35079.000000, 34794.000000, 37578.000000, 44377.000000, 60125.000000, 37501.000000, 52010.000000, 56986.000000, 54772.000000
28535.000000, 28057.000000, 35884.000000, 38984.000000, 63349.000000, 30098.000000, 43610.000000, 65144.000000, 61533.000000
28987.000000, 26496.000000, 36891.000000, 38688.000000, 74923.000000, 34098.000000, 46736.000000, 83676.000000, 60263.000000
31706.000000, 28992.000000, 35961.000000, 42313.000000, 47605.000000, 29841.000000, 42018.000000, 49310.000000, 73819.000000
28643.000000, 27708.000000, 41240.000000, 46497.000000, 50579.000000, 30143.000000, 40969.000000, 50136.000000, 66466.000000
33664.000000, 32638.000000, 43203.000000, 42068.000000, 53119.000000, 43136.000000, 42231.000000, 50748.000000, 60698.000000
29068.000000, 28238.000000, 37102.000000, 43059.000000, 48712.000000, 30517.000000, 44587.000000, 49758.000000, 57557.000000
29122.000000, 26747.000000, 39046.000000, 48244.000000, 52431.000000, 29734.000000, 41283.000000, 44728.000000, 63860.000000
30383.000000, 32557.000000, 40016.000000, 41621.000000, 74284.000000, 31733.000000, 46659.000000, 49424.000000, 65690.000000
28883.000000, 29154.000000, 35492.000000, 43546.000000, 54401.000000, 29489.000000, 49360.000000, 51529.000000, 69705.000000
30832.000000, 28798.000000, 39896.000000, 40616.000000, 43249.000000, 30875.000000, 38196.000000, 63033.000000, 73156.000000
30068.000000, 27801.000000, 38175.000000, 44010.000000, 91410.000000, 28780.000000, 46968.000000, 46982.000000, 63850.000000
29481.000000, 27759.000000, 34629.000000, 51183.000000, 67780.000000, 33674.000000, 41538.000000, 54338.000000, 79255.000000
30010.000000, 26188.000000, 39914.000000, 44489.000000, 54930.000000, 29248.000000, 40686.000000, 45622.000000, 84734.000000
29161.000000, 31771.000000, 33632.000000, 59586.000000, 73416.000000, 30005.000000, 41541.000000, 54910.000000, 95938.000000
28682.000000, 27027.000000, 36778.000000, 49049.000000, 79269.000000, 35619.000000, 44068.000000, 50085.000000, 60999.000000
32073.000000, 26184.000000, 38247.000000, 44224.000000, 79070.000000, 35421.000000, 41608.000000, 50853.000000, 83747.000000
28665.000000, 27697.000000, 40039.000000, 48390.000000, 49266.000000, 29935.000000, 43080.000000, 50047.000000, 91140.000000
29418.000000, 25608.000000, 42386.000000, 71611.000000, 52917.000000, 32042.000000, 56450.000000, 43486.000000, 51332.000000
28420.000000, 25775.000000, 39635.000000, 38224.000000, 60637.000000, 29294.000000, 49966.000000, 54102.000000, 89496.000000
30969.000000, 28859.000000, 36336.000000, 47580.000000, 65574.000000, 34890.000000, 36975.000000, 46103.000000, 83711.000000
31745.000000, 27864.000000, 41351.000000, 38795.000000, 68718.000000, 35955.000000, 41677.000000, 48976.000000, 66071.000000
35995.000000, 40429.000000, 42431.000000, 48568.000000, 52958.000000, 30915.000000, 45573.000000, 44843.000000, 109269.000000
33964.000000, 29448.000000, 36852.000000, 61496.000000, 61173.000000, 31510.000000, 45536.000000, 55461.000000, 100089.000000
31437.000000, 28514.000000, 37538.000000, 43171.000000, 87552.000000, 29752.000000, 43134.000000, 64702.000000, 120397.000000
35112.000000, 27675.000000, 37241.000000, 43942.000000, 89811.000000, 39520.000000, 47405.000000, 51739.000000, 62184.000000
28659.000000, 29410.000000, 41226.000000, 43862.000000, 45295.000000, 32926.000000, 42704.000000, 46237.000000, 92668.000000
32647.000000, 28482.000000, 33213.000000, 42130.000000, 55192.000000, 31656.000000, 54097.000000, 47448.000000, 58639.000000
29982.000000, 30476.000000, 39149.000000, 46099.000000, 53583.000000, 29171.000000, 41497.000000, 51838.000000, 81131.000000
29023.000000, 28837.000000, 37191.000000, 54683.000000, 52304.000000, 31388.000000, 43439.000000, 46921.000000, 64306.000000
29083.000000, 27906.000000, 43400.000000, 44558.000000, 73329.000000, 34558.000000, 43444.000000, 47472.000000, 70480.000000
32585.000000, 30195.000000, 36220.000000, 43193.000000, 52486.000000, 28938.000000, 37799.000000, 60514.000000, 92847.000000
32054.000000, 25748.000000, 42661.000000, 46244.000000, 58693.000000, 31041.000000, 41163.000000, 62329.000000, 83167.000000
29124.000000, 27026.000000, 38522.000000, 37323.000000, 55886.000000, 30980.000000, 41608.000000, 47816.000000, 72742.000000
28472.000000, 29796.000000, 38085.000000, 43071.000000, 45713.000000, 33143.000000, 50220.000000, 50588.000000, 63090.000000
29690.000000, 29640.000000, 37041.000000, 42612.000000, 79318.000000, 34225.000000, 40687.000000, 46588.000000, 55550.000000
31833.000000, 31415.000000, 41470.000000, 40286.000000, 62395.000000, 30414.000000, 39942.000000, 48139.000000, 62817.000000
29318.000000, 26944.000000, 41580.000000, 40798.000000, 60951.000000, 41088.000000, 50617.000000, 48426.000000, 71044.000000
31141.000000, 34017.000000, 36001.000000, 40410.000000, 74479.000000, 30790.000000, 49323.000000, 43503.000000, 58587.000000
30815.000000, 26374.000000, 32379.000000, 47138.000000, 62594.000000, 31719.000000, 46351.000000, 51934.000000, 51929.000000
27627.000000, 31111.000000, 34653.000000, 47003.000000, 94599.000000, 27629.000000, 41797.000000, 63821.000000, 55300.000000
29937.000000, 29702.000000, 45708.000000, 43031.000000, 59867.000000, 30682.000000, 38621.000000, 61791.000000, 86981.000000
29025.000000, 28098.000000, 40617.000000, 48000.000000, 46224.000000, 30785.000000, 44077.000000, 65191.000000, 58190.000000
30219.000000, 27872.000000, 45079.000000, 48307.000000, 65104.000000, 32642.000000, 51738.000000, 54654.000000, 56027.000000
28695.000000, 26208.000000, 34822.000000, 45061.000000, 56440.000000, 30138.000000, 50604.000000, 48751.000000, 63016.000000
28803.000000, 26579.000000, 38006.000000, 40549.000000, 67163.000000, 30121.000000, 42449.000000, 53682.000000, 80492.000000
28421.000000, 27175.000000, 36083.000000, 44510.000000, 50316.000000, 27837.000000, 38827.000000, 45019.000000, 65898.000000
31716.000000, 30005.000000, 46054.000000, 46544.000000, 50431.000000, 30632.000000, 38539.000000, 44880.000000, 87417.000000
32693.000000, 27872.000000, 40603.000000, 42623.000000, 46579.000000, 36547.000000, 47978.000000, 53182.000000, 78501.000000
28573.000000, 27227.000000, 36282.000000, 54266.000000, 53470.000000, 29911.000000, 37094.000000, 54885.000000, 55168.000000
30452.000000, 27402.000000, 39457.000000, 49413.000000, 57487.000000, 33450.000000, 45752.000000, 60748.000000, 81441.000000
28500.000000, 31585.000000, 35885.000000, 46381.000000, 63511.000000, 30192.000000, 48370.000000, 56253.000000, 55487.000000
29490.000000, 29497.000000, 40104.000000, 43856.000000, 54132.000000, 33314.000000, 41148.000000, 51543.000000, 59599.000000
29143.000000, 27715.000000, 38402.000000, 44524.000000, 66347.000000, 30978.000000, 39976.000000, 45387.000000, 67107.000000
31399.000000, 31183.000000, 35906.000000, 43010.000000, 40855.000000, 29387.000000, 45344.000000, 50336.000000, 55526.000000
30094.000000, 26626.000000, 35827.000000, 47682.000000, 50000.000000, 28299.000000, 39975.000000, 67621.000000, 103620.000000
32925.000000, 27732.000000, 33668.000000, 42053.000000, 47688.000000, 35400.000000, 38437.000000, 52594.000000, 46144.000000
29932.000000, 28392.000000, 38478.000000, 45853.000000, 55477.000000, 29041.000000, 37690.000000, 56191.000000, 61866.000000
29819.000000, 28307.000000, 38908.000000, 50962.000000, 53857.000000, 30865.000000, 44818.000000, 53093.000000, 66486.000000
30791.000000, 26683.000000, 48380.000000, 40946.000000, 68377.000000, 30834.000000, 53427.000000, 75255.000000, 61713.000000
28093.000000, 28351.000000, 34375.000000, 45082.000000, 54399.000000, 28645.000000, 43186.000000, 66342.000000, 67093.000000
28590.000000, 29562.000000, 39549.000000, 48900.000000, 50642.000000, 31529.000000, 45106.000000, 48116.000000, 59470.000000
28661.000000, 28868.000000, 39147.000000, 49646.000000, 50672.000000, 32164.000000, 39624.000000, 51495.000000, 49133.000000
28973.000000, 28412.000000, 41124.000000, 45506.000000, 71538.000000, 29225.000000, 39825.000000, 42169.000000, 64951.000000
26401.000000, 25560.000000, 35915.000000, 43023.000000, 48020.000000, 30253.000000, 35096.000000, 44037.000000, 56314.000000
29332.000000, 25678.000000, 34375.000000, 43451.000000, 53489.000000, 33621.000000, 60700.000000, 62329.000000, 74733.000000
31473.000000, 25883.000000, 41419.000000, 59505.000000, 76431.000000, 30197.000000, 48331.000000, 70625.000000, 68362.000000
29089.000000, 29074.000000, 37160.000000, 48327.000000, 44601.000000, 30435.000000, 39117.000000, 70782.000000, 86826.000000
33123.000000, 32115.000000, 44005.000000, 37177.000000, 59769.000000, 32493.000000, 38164.000000, 53164.000000, 113441.000000
31943.000000, 26772.000000, 34284.000000, 43445.000000, 51587.000000, 38697.000000, 48074.000000, 50787.000000, 92431.000000
28086.000000, 28519.000000, 46958.000000, 43283.000000, 56313.000000, 28467.000000, 40031.000000, 47647.000000, 49187.000000
28844.000000, 30291.000000, 39265.000000, 45511.000000, 54909.000000, 31481.000000, 45909.000000, 57246.000000, 98847.000000
27625.000000, 26889.000000, 34762.000000, 38340.000000, 54319.000000, 28614.000000, 42540.000000, 46188.000000, 94061.000000
29440.000000, 27066.000000, 37378.000000, 39134.000000, 52705.000000, 29521.000000, 42747.000000, 46226.000000, 95116.000000
27891.000000, 26930.000000, 43758.000000, 64089.000000, 63314.000000, 42678.000000, 41079.000000, 63312.000000, 83566.000000
30392.000000, 27459.000000, 40202.000000, 43244.000000, 63104.000000, 35392.000000, 44304.000000, 45799.000000, 66167.000000
28988.000000, 25534.000000, 37423.000000, 49833.000000, 55702.000000, 32332.000000, 46406.000000, 56100.000000, 85438.000000
31238.000000, 30895.000000, 34336.000000, 39301.000000, 49544.000000, 32339.000000, 39380.000000, 54714.000000, 88048.000000
29129.000000, 37954.000000, 38616.000000, 46435.000000, 56199.000000, 29714.000000, 43149.000000, 48734.000000, 89676.000000
26641.000000, 30242.000000, 32019.000000, 57841.000000, 78334.000000, 31152.000000, 53246.000000, 50897.000000, 63695.000000
28339.000000, 26164.000000, 33570.000000, 40903.000000, 50715.000000, 29682.000000, 38749.000000, 50701.000000, 68752.000000
28709.000000, 28974.000000, 35629.000000, 37908.000000, 51819.000000, 35556.000000, 43143.000000, 44061.000000, 47886.000000
30059.000000, 28185.000000, 35786.000000, 42717.000000, 59661.000000, 33708.000000, 55815.000000, 79532.000000, 84966.000000
29436.000000, 28820.000000, 33776.000000, 50843.000000, 69421.000000, 34562.000000, 47920.000000, 56578.000000, 90490.000000
35756.000000, 27033.000000, 39983.000000, 40801.000000, 52416.000000, 34953.000000, 39946.000000, 64342.000000, 91900.000000
31066.000000, 32383.000000, 40792.000000, 51209.000000, 66878.000000, 35356.000000, 49027.000000, 60356.000000, 60646.000000
29683.000000, 28327.000000, 36837.000000, 52570.000000, 77082.000000, 30827.000000, 44533.000000, 82785.000000, 99042.000000
29750.000000, 27374.000000, 34094.000000, 37730.000000, 42380.000000, 34564.000000, 50516.000000, 63626.000000, 116404.000000
29988.000000, 27855.000000, 35697.000000, 44757.000000, 69362.000000, 34102.000000, 40908.000000, 50541.000000, 50876.000000
29145.000000, 27910.000000, 37963.000000, 61334.000000, 76716.000000, 33981.000000, 43483.000000, 49579.000000, 49977.000000
30839.000000, 27254.000000, 34325.000000, 40883.000000, 70878.000000, 30302.000000, 40597.000000, 53357.000000, 106507.000000
30659.000000, 27095.000000, 36095.000000, 45695.000000, 46919.000000, 32333.000000, 40709.000000, 47324.000000, 52872.000000
28298.000000, 26384.000000, 35590.000000, 40000.000000, 59522.000000, 32866.000000, 39148.000000, 51925.000000, 94458.000000
29907.000000, 26650.000000, 43675.000000, 59061.000000, 63316.000000, 34222.000000, 40108.000000, 55060.000000, 67324.000000
29575.000000, 29724.000000, 40362.000000, 39480.000000, 39041.000000, 29335.000000, 42115.000000, 44977.000000, 71345.000000
29208.000000, 27150.000000, 45201.000000, 40156.000000, 49612.000000, 30603.000000, 45612.000000, 45345.000000, 49021.000000
29061.000000, 29466.000000, 38662.000000, 39298.000000, 81773.000000, 30599.000000, 39182.000000, 57699.000000, 69010.000000
30919.000000, 26761.000000, 37594.000000, 37188.000000, 39795.000000, 28312.000000, 44214.000000, 41561.000000, 53345.000000
28603.000000, 26356.000000, 35801.000000, 52767.000000, 45433.000000, 32251.000000, 39795.000000, 53302.000000, 61900.000000
