Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
9729.000000, 9934.000000, 16220.000000, 20552.000000, 19431.000000, 9624.000000, 12645.000000, 13729.000000, 18848.000000
12963.000000, 9984.000000, 16879.000000, 17179.000000, 22860.000000, 11006.000000, 13251.000000, 16501.000000, 15257.000000
10327.000000, 10035.000000, 17853.000000, 19631.000000, 20478.000000, 11191.000000, 12692.000000, 16402.000000, 14797.000000
10757.000000, 9631.000000, 19201.000000, 19899.000000, 21320.000000, 11022.000000, 11553.000000, 16974.000000, 15402.000000
9429.000000, 9946.000000, 18774.000000, 18166.000000, 24072.000000, 13851.000000, 16017.000000, 16829.000000, 13213.000000
9360.000000, 9854.000000, 18027.000000, 17238.000000, 22969.000000, 9867.000000, 16110.000000, 16145.000000, 14739.000000
10330.000000, 11411.000000, 17264.000000, 16641.000000, 19197.000000, 10398.000000, 12880.000000, 20688.000000, 15682.000000
10041.000000, 9571.000000, 16771.000000, 19862.000000, 21613.000000, 19020.000000, 15708.000000, 12669.000000, 15888.000000
9778.000000, 9685.000000, 15751.000000, 24258.000000, 20916.000000, 9510.000000, 9937.000000, 12174.000000, 14142.000000
9297.000000, 12837.000000, 14205.000000, 17333.000000, 20379.000000, 15254.000000, 10981.000000, 13746.000000, 15316.000000
9226.000000, 9824.000000, 14060.000000, 16845.000000, 22326.000000, 10252.000000, 15127.000000, 16301.000000, 13658.000000
10502.000000, 9494.000000, 15511.000000, 16563.000000, 18146.000000, 10130.000000, 11928.000000, 15907.000000, 15060.000000
9579.000000, 10126.000000, 14217.000000, 21086.000000, 18496.000000, 12213.000000, 14122.000000, 16953.000000, 16489.000000
10697.000000, 9303.000000, 14191.000000, 17614.000000, 19074.000000, 9616.000000, 10921.000000, 16934.000000, 16513.000000
9288.000000, 9547.000000, 13856.000000, 26852.000000, 24812.000000, 9396.000000, 10486.000000, 15670.000000, 15440.000000
10445.000000, 9527.000000, 16889.000000, 19652.000000, 22579.000000, 12801.000000, 11098.000000, 17664.000000, 17008.000000
10568.000000, 10282.000000, 14639.000000, 18925.000000, 24064.000000, 11294.000000, 10174.000000, 13869.000000, 21337.000000
11800.000000, 10057.000000, 16628.000000, 20190.000000, 21753.000000, 10681.000000, 11144.000000, 13134.000000, 16071.000000
12570.000000, 9469.000000, 15778.000000, 18285.000000, 20123.000000, 10322.000000, 10439.000000, 14103.000000, 15674.000000
9301.000000, 10222.000000, 14482.000000, 17180.000000, 26697.000000, 15464.000000, 10273.000000, 13552.000000, 13077.000000
9376.000000, 10528.000000, 15408.000000, 14970.000000, 20112.000000, 10000.000000, 9713.000000, 11475.000000, 14164.000000
9418.000000, 9502.000000, 13932.000000, 17593.000000, 18814.000000, 9504.000000, 10773.000000, 16063.000000, 15034.000000
9363.000000, 9757.000000, 16091.000000, 18791.000000, 20949.000000, 14222.000000, 9965.000000, 14201.000000, 16082.000000
9621.000000, 9550.000000, 17435.000000, 18619.000000, 20541.000000, 11671.000000, 12222.000000, 14851.000000, 13802.000000
9693.000000, 9839.000000, 18457.000000, 20184.000000, 20350.000000, 11184.000000, 15770.000000, 13978.000000, 16129.000000
10053.000000, 9870.000000, 13766.000000, 19665.000000, 23590.000000, 13077.000000, 11305.000000, 13657.000000, 13726.000000
9407.000000, 10668.000000, 15943.000000, 18217.000000, 28013.000000, 9780.000000, 11988.000000, 13987.000000, 13877.000000
12040.000000, 9881.000000, 13450.000000, 19463.000000, 20461.000000, 9723.000000, 16125.000000, 14481.000000, 14961.000000
11468.000000, 15434.000000, 13775.000000, 22359.000000, 22401.000000, 17474.000000, 12784.000000, 14973.000000, 13867.000000
9930.000000, 9851.000000, 16330.000000, 18612.000000, 19947.000000, 11849.000000, 11796.000000, 14144.000000, 15546.000000
9658.000000, 10011.000000, 15328.000000, 19166.000000, 25058.000000, 9891.000000, 21417.000000, 15261.000000, 15604.000000
9563.000000, 9687.000000, 18833.000000, 21725.000000, 19302.000000, 13360.000000, 14651.000000, 13380.000000, 15111.000000
11244.000000, 9853.000000, 16726.000000, 20798.000000, 23518.000000, 10360.000000, 12856.000000, 17303.000000, 14798.000000
9523.000000, 9619.000000, 14130.000000, 18037.000000, 26789.000000, 11930.000000, 16197.000000, 15225.000000, 13856.000000
10427.000000, 10031.000000, 13944.000000, 15632.000000, 17761.000000, 12257.000000, 12890.000000, 16153.000000, 18952.000000
10564.000000, 9818.000000, 16555.000000, 20005.000000, 34930.000000, 16524.000000, 19875.000000, 12622.000000, 15258.000000
9484.000000, 9895.000000, 17537.000000, 19846.000000, 22511.000000, 9941.000000, 13362.000000, 14128.000000, 13653.000000
9392.000000, 9875.000000, 16062.000000, 14988.000000, 20827.000000, 10598.000000, 10634.000000, 16194.000000, 15239.000000
9358.000000, 9561.000000, 13745.000000, 18202.000000, 20864.000000, 9350.000000, 11513.000000, 14987.000000, 16511.000000
9699.000000, 10361.000000, 14676.000000, 17046.000000, 16155.000000, 9757.000000, 10248.000000, 15621.000000, 14877.000000
9420.000000, 12374.000000, 19881.000000, 19337.000000, 17930.000000, 9479.000000, 11934.000000, 14090.000000, 16002.000000
10442.000000, 10816.000000, 14146.000000, 15764.000000, 18682.000000, 17788.000000, 10015.000000, 10873.000000, 13444.000000
